 &plot nbnd= 100, nks=   100 /
            0.000000  0.000000  0.000000
  -15.620  -14.435  -14.284  -14.284  -14.226  -14.210  -14.210  -13.944  -13.669  -13.669
  -13.591  -13.568  -13.568  -13.332  -13.257  -13.090  -12.990   -7.070   -6.874   -6.874
   -6.806   -6.745   -6.745   -6.627   -6.558   -6.558   -5.994   -5.994   -5.809   -5.694
   -5.694   -5.667   -5.651   -5.650   -5.407   -5.407   -5.331   -5.242   -5.242   -5.055
   -4.953   -4.953   -4.857   -4.443   -4.361   -4.361   -4.020   -3.948   -3.947   -3.943
   -3.766   -3.765   -3.479   -3.387   -3.310   -3.310   -3.158   -2.980   -2.962   -2.962
   -2.837   -2.837   -2.486   -2.486   -2.439   -2.407   -2.407   -2.381   -2.304   -2.297
   -2.297   -2.268   -2.149   -2.149   -1.537   -1.189   -1.189   -1.092    0.179    0.179
    0.979    0.979    1.341    1.373    1.373    1.382    1.422    1.422    1.560    1.560
    1.595    1.650    1.848    1.848    2.013    2.014    2.222    2.222    2.419    2.594
            0.014048 -0.008110  0.000000
  -15.619  -14.435  -14.289  -14.287  -14.238  -14.206  -14.194  -13.943  -13.670  -13.669
  -13.596  -13.567  -13.562  -13.332  -13.257  -13.090  -12.990   -7.070   -6.874   -6.873
   -6.810   -6.745   -6.743   -6.628   -6.557   -6.555   -5.998   -5.998   -5.813   -5.691
   -5.689   -5.677   -5.650   -5.639   -5.406   -5.406   -5.331   -5.242   -5.242   -5.055
   -4.952   -4.952   -4.856   -4.444   -4.361   -4.360   -4.023   -3.949   -3.947   -3.942
   -3.766   -3.765   -3.479   -3.388   -3.312   -3.309   -3.157   -2.981   -2.962   -2.961
   -2.836   -2.835   -2.488   -2.488   -2.446   -2.417   -2.402   -2.372   -2.304   -2.299
   -2.295   -2.267   -2.148   -2.146   -1.537   -1.190   -1.190   -1.093    0.179    0.179
    0.979    0.980    1.335    1.368    1.376    1.383    1.424    1.427    1.558    1.561
    1.599    1.651    1.848    1.849    2.014    2.014    2.221    2.222    2.417    2.592
            0.028095 -0.016221  0.000000
  -15.618  -14.435  -14.303  -14.295  -14.250  -14.198  -14.171  -13.941  -13.672  -13.671
  -13.604  -13.564  -13.551  -13.332  -13.258  -13.090  -12.991   -7.069   -6.875   -6.872
   -6.819   -6.747   -6.737   -6.630   -6.556   -6.548   -6.011   -6.010   -5.823   -5.692
   -5.684   -5.672   -5.648   -5.621   -5.403   -5.402   -5.331   -5.242   -5.242   -5.056
   -4.951   -4.950   -4.854   -4.446   -4.363   -4.359   -4.031   -3.952   -3.950   -3.937
   -3.769   -3.764   -3.479   -3.389   -3.317   -3.306   -3.154   -2.984   -2.961   -2.959
   -2.834   -2.830   -2.495   -2.492   -2.461   -2.432   -2.394   -2.356   -2.304   -2.303
   -2.290   -2.263   -2.145   -2.137   -1.537   -1.192   -1.192   -1.094    0.180    0.180
    0.982    0.982    1.322    1.356    1.381    1.382    1.429    1.437    1.554    1.562
    1.609    1.653    1.848    1.850    2.014    2.016    2.218    2.222    2.412    2.588
            0.042143 -0.024331  0.000000
  -15.617  -14.435  -14.323  -14.304  -14.257  -14.187  -14.147  -13.937  -13.677  -13.674
  -13.613  -13.560  -13.538  -13.332  -13.259  -13.091  -12.992   -7.067   -6.877   -6.871
   -6.832   -6.749   -6.732   -6.632   -6.553   -6.537   -6.029   -6.027   -5.836   -5.706
   -5.679   -5.651   -5.639   -5.601   -5.397   -5.395   -5.329   -5.242   -5.241   -5.057
   -4.950   -4.947   -4.851   -4.449   -4.366   -4.356   -4.042   -3.958   -3.954   -3.930
   -3.774   -3.763   -3.479   -3.391   -3.326   -3.301   -3.149   -2.988   -2.958   -2.955
   -2.830   -2.823   -2.507   -2.500   -2.478   -2.447   -2.388   -2.342   -2.312   -2.299
   -2.283   -2.254   -2.140   -2.124   -1.536   -1.196   -1.196   -1.095    0.181    0.181
    0.986    0.986    1.306    1.342    1.380    1.385    1.435    1.450    1.552    1.564
    1.621    1.658    1.849    1.852    2.014    2.018    2.214    2.222    2.404    2.581
            0.056191 -0.032442  0.000000
  -15.614  -14.436  -14.346  -14.316  -14.262  -14.174  -14.124  -13.931  -13.684  -13.678
  -13.619  -13.555  -13.525  -13.332  -13.261  -13.093  -12.993   -7.064   -6.882   -6.869
   -6.844   -6.752   -6.728   -6.631   -6.549   -6.525   -6.053   -6.049   -5.851   -5.720
   -5.679   -5.627   -5.622   -5.579   -5.390   -5.386   -5.328   -5.241   -5.241   -5.058
   -4.948   -4.942   -4.847   -4.454   -4.370   -4.353   -4.056   -3.966   -3.959   -3.922
   -3.780   -3.761   -3.479   -3.393   -3.338   -3.296   -3.143   -2.995   -2.954   -2.949
   -2.825   -2.814   -2.523   -2.513   -2.494   -2.458   -2.388   -2.330   -2.319   -2.292
   -2.274   -2.242   -2.134   -2.108   -1.536   -1.200   -1.200   -1.097    0.182    0.183
    0.991    0.992    1.289    1.327    1.377    1.386    1.440    1.463    1.554    1.567
    1.635    1.664    1.849    1.855    2.015    2.022    2.208    2.222    2.393    2.571
            0.070238 -0.040552  0.000000
  -15.611  -14.437  -14.371  -14.328  -14.267  -14.159  -14.100  -13.924  -13.692  -13.683
  -13.624  -13.549  -13.512  -13.332  -13.264  -13.094  -12.995   -7.061   -6.891   -6.867
   -6.853   -6.756   -6.727   -6.628   -6.545   -6.511   -6.079   -6.073   -5.869   -5.733
   -5.683   -5.603   -5.600   -5.554   -5.381   -5.376   -5.325   -5.240   -5.240   -5.060
   -4.945   -4.936   -4.841   -4.459   -4.375   -4.350   -4.072   -3.976   -3.967   -3.914
