 &plot nbnd= 100, nks=   100 /
            0.000000  0.000000  0.000000
  -15.761  -14.560  -14.536  -14.534  -14.529  -14.221  -14.221  -13.874  -13.873  -13.864
  -13.772  -13.601  -13.601  -13.344  -13.173  -13.171  -12.769  -12.767   -7.225   -6.968
   -6.967   -6.936   -6.935   -6.929   -6.724   -6.543   -6.541   -6.249   -5.931   -5.911
   -5.846   -5.844   -5.734   -5.734   -5.684   -5.618   -5.618   -5.433   -5.431   -5.319
   -5.317   -5.145   -4.763   -4.761   -4.726   -4.609   -4.373   -4.319   -4.318   -4.305
   -4.193   -3.810   -3.808   -3.727   -3.725   -3.382   -3.381   -3.364   -3.150   -3.079
   -3.079   -2.910   -2.909   -2.839   -2.686   -2.684   -2.614   -2.523   -2.522   -2.494
   -2.411   -2.409   -2.386   -1.885   -1.861   -1.859   -0.857   -0.856   -0.759   -0.440
   -0.440    0.634    0.697    1.009    1.021    1.023    1.096    1.113    1.116    1.184
    1.275    1.278    1.754    1.758    1.900    1.901    2.037    2.038    2.256    2.281
            0.013917 -0.008036  0.000000
  -15.761  -14.560  -14.550  -14.536  -14.514  -14.221  -14.220  -13.880  -13.874  -13.858
  -13.771  -13.601  -13.601  -13.344  -13.173  -13.172  -12.769  -12.767   -7.224   -6.968
   -6.967   -6.949   -6.936   -6.916   -6.725   -6.543   -6.541   -6.251   -5.939   -5.915
   -5.840   -5.839   -5.740   -5.734   -5.684   -5.616   -5.610   -5.433   -5.431   -5.319
   -5.317   -5.144   -4.763   -4.761   -4.726   -4.610   -4.375   -4.320   -4.318   -4.306
   -4.193   -3.811   -3.808   -3.727   -3.725   -3.393   -3.381   -3.354   -3.151   -3.078
   -3.077   -2.909   -2.908   -2.841   -2.688   -2.685   -2.613   -2.527   -2.521   -2.492
   -2.410   -2.408   -2.385   -1.885   -1.861   -1.859   -0.858   -0.856   -0.759   -0.441
   -0.440    0.635    0.698    1.008    1.020    1.022    1.092    1.115    1.121    1.184
    1.276    1.279    1.754    1.759    1.899    1.900    2.036    2.037    2.249    2.280
            0.027835 -0.016071  0.000000
  -15.760  -14.569  -14.560  -14.537  -14.499  -14.219  -14.218  -13.890  -13.874  -13.849
  -13.769  -13.601  -13.600  -13.343  -13.173  -13.172  -12.769  -12.767   -7.224   -6.969
   -6.967   -6.962   -6.937   -6.901   -6.727   -6.542   -6.539   -6.259   -5.957   -5.926
   -5.829   -5.827   -5.753   -5.732   -5.682   -5.612   -5.590   -5.432   -5.429   -5.317
   -5.315   -5.142   -4.763   -4.760   -4.725   -4.611   -4.379   -4.322   -4.318   -4.307
   -4.193   -3.812   -3.807   -3.727   -3.724   -3.412   -3.381   -3.339   -3.155   -3.075
   -3.070   -2.907   -2.905   -2.847   -2.692   -2.690   -2.612   -2.536   -2.516   -2.486
   -2.410   -2.400   -2.383   -1.884   -1.862   -1.858   -0.861   -0.857   -0.757   -0.444
   -0.441    0.638    0.699    1.004    1.015    1.020    1.086    1.120    1.132    1.182
    1.277    1.283    1.753    1.760    1.899    1.899    2.034    2.036    2.235    2.277
            0.041752 -0.024107  0.000000
  -15.759  -14.588  -14.559  -14.539  -14.485  -14.217  -14.214  -13.900  -13.875  -13.840
  -13.766  -13.601  -13.599  -13.341  -13.174  -13.173  -12.770  -12.768   -7.223   -6.983
   -6.965   -6.962   -6.938   -6.887   -6.731   -6.541   -6.537   -6.272   -5.981   -5.940
   -5.817   -5.816   -5.768   -5.728   -5.675   -5.606   -5.564   -5.432   -5.427   -5.315
   -5.312   -5.139   -4.763   -4.758   -4.723   -4.614   -4.386   -4.327   -4.318   -4.310
   -4.193   -3.815   -3.806   -3.728   -3.723   -3.430   -3.381   -3.326   -3.159   -3.070
   -3.060   -2.905   -2.901   -2.856   -2.699   -2.697   -2.611   -2.546   -2.508   -2.480
   -2.412   -2.388   -2.380   -1.883   -1.863   -1.856   -0.865   -0.859   -0.754   -0.448
   -0.442    0.643    0.701    0.998    1.007    1.018    1.081    1.128    1.144    1.180
    1.280    1.288    1.751    1.762    1.897    1.898    2.031    2.033    2.219    2.271
            0.055670 -0.032142  0.000000
  -15.756  -14.609  -14.558  -14.543  -14.473  -14.214  -14.210  -13.911  -13.876  -13.832
  -13.761  -13.602  -13.598  -13.339  -13.175  -13.174  -12.770  -12.768   -7.221   -7.000
   -6.963   -6.959   -6.940   -6.874   -6.735   -6.541   -6.534   -6.288   -6.006   -5.956
   -5.819   -5.810   -5.770   -5.718   -5.665   -5.597   -5.537   -5.432   -5.424   -5.312
   -5.307   -5.134   -4.762   -4.756   -4.720   -4.618   -4.395   -4.333   -4.320   -4.314
   -4.192   -3.818   -3.804   -3.729   -3.722   -3.449   -3.380   -3.315   -3.162   -3.064
   -3.047   -2.902   -2.897   -2.865   -2.708   -2.706   -2.610   -2.558   -2.498   -2.473
   -2.416   -2.374   -2.373   -1.882   -1.864   -1.853   -0.870   -0.862   -0.750   -0.455
   -0.444    0.650    0.704    0.991    0.997    1.016    1.078    1.136    1.155    1.179
    1.284    1.296    1.748    1.765    1.895    1.896    2.027    2.030    2.203    2.264
            0.069587 -0.040178  0.000000
  -15.754  -14.630  -14.556  -14.547  -14.462  -14.209  -14.204  -13.922  -13.877  -13.824
  -13.755  -13.602  -13.597  -13.336  -13.177  -13.175  -12.770  -12.769   -7.220   -7.018
   -6.961   -6.956   -6.941   -6.862   -6.740   -6.540   -6.531   -6.307   -6.032   -5.973
   -5.837   -5.810   -5.754   -5.703   -5.652   -5.587   -5.508   -5.431   -5.420   -5.309
